# File: DECARB_trn_scenarios.csv
# Title: Parameter adjustments to define the transportation scenarios
# Units: Various
# Comments: This is intended as a single control table for scenario differentiation
# Source: harmonization exercise with TEMPO
# Column types: ccccccni
# ----------
scenario,supplysector,subsector,technology,variable,value,adj_factor,rule_number
HiTech,trn_freight_road,Light truck,Hybrid Liquids,to.year,2060,NA,1
HiTech,trn_freight_road,Light truck,Hybrid Liquids,interpolation.function,linear,NA,1
HiTech,trn_pass_road_LDV_4W,Car,Hybrid Liquids,from.year,2025,NA,1
HiTech,trn_pass_road_LDV_4W,Car,Hybrid Liquids,to.value,0,NA,1
HiTech,trn_pass_road_LDV_4W,Car,Hybrid Liquids,to.year,2041,NA,1
HiTech,trn_pass_road_LDV_4W,Car,Hybrid Liquids,interpolation.function,linear,NA,1
HiTech,trn_pass_road_LDV_4W,Car,Liquids,from.year,2025,NA,1
HiTech,trn_pass_road_LDV_4W,Car,Liquids,to.value,0,NA,1
HiTech,trn_pass_road_LDV_4W,Car,Liquids,to.year,2041,NA,1
HiTech,trn_pass_road_LDV_4W,Car,Liquids,interpolation.function,linear,NA,1
HiTech,trn_pass_road_LDV_4W,Large Car and Truck,Hybrid Liquids,from.year,2025,NA,1
HiTech,trn_pass_road_LDV_4W,Large Car and Truck,Hybrid Liquids,to.value,0,NA,1
HiTech,trn_pass_road_LDV_4W,Large Car and Truck,Hybrid Liquids,to.year,2041,NA,1
HiTech,trn_pass_road_LDV_4W,Large Car and Truck,Hybrid Liquids,interpolation.function,linear,NA,1
HiTech,trn_pass_road_LDV_4W,Large Car and Truck,Liquids,from.year,2025,NA,1
HiTech,trn_pass_road_LDV_4W,Large Car and Truck,Liquids,to.value,0,NA,1
HiTech,trn_pass_road_LDV_4W,Large Car and Truck,Liquids,to.year,2041,NA,1
HiTech,trn_pass_road_LDV_4W,Large Car and Truck,Liquids,interpolation.function,linear,NA,1
HiTech,trn_pass_road_LDV_4W,Car,Hybrid Liquids,from.year,2040,NA,2
HiTech,trn_pass_road_LDV_4W,Car,Hybrid Liquids,to.value,0,NA,2
HiTech,trn_pass_road_LDV_4W,Car,Hybrid Liquids,to.year,2100,NA,2
HiTech,trn_pass_road_LDV_4W,Car,Hybrid Liquids,interpolation.function,fixed,NA,2
HiTech,trn_pass_road_LDV_4W,Car,Liquids,from.year,2040,NA,2
HiTech,trn_pass_road_LDV_4W,Car,Liquids,to.value,0,NA,2
HiTech,trn_pass_road_LDV_4W,Car,Liquids,to.year,2100,NA,2
HiTech,trn_pass_road_LDV_4W,Car,Liquids,interpolation.function,fixed,NA,2
HiTech,trn_pass_road_LDV_4W,Large Car and Truck,Hybrid Liquids,from.year,2040,NA,2
HiTech,trn_pass_road_LDV_4W,Large Car and Truck,Hybrid Liquids,to.value,0,NA,2
HiTech,trn_pass_road_LDV_4W,Large Car and Truck,Hybrid Liquids,to.year,2100,NA,2
HiTech,trn_pass_road_LDV_4W,Large Car and Truck,Hybrid Liquids,interpolation.function,fixed,NA,2
HiTech,trn_pass_road_LDV_4W,Large Car and Truck,Liquids,from.year,2040,NA,2
HiTech,trn_pass_road_LDV_4W,Large Car and Truck,Liquids,to.value,0,NA,2
HiTech,trn_pass_road_LDV_4W,Large Car and Truck,Liquids,to.year,2100,NA,2
HiTech,trn_pass_road_LDV_4W,Large Car and Truck,Liquids,interpolation.function,fixed,NA,2
HiTech,trn_freight_road,Heavy truck,BEV,share.weight,1.5,NA,NA
HiTech,trn_freight_road,Light truck,BEV,share.weight,1.5,NA,NA
HiTech,trn_freight_road,Medium truck,BEV,share.weight,1.5,NA,NA
HiTech,trn_pass_road_LDV_4W,Car,BEV,input.cost,2005,0.832,NA
HiTech,trn_pass_road_LDV_4W,Car,BEV,coefficient,2005,0.944,NA
HiTech,trn_pass_road_LDV_4W,Car,BEV,input.cost,2010,0.915,NA
HiTech,trn_pass_road_LDV_4W,Car,BEV,coefficient,2010,0.974,NA
HiTech,trn_pass_road_LDV_4W,Car,BEV,input.cost,2015,0.979,NA
HiTech,trn_pass_road_LDV_4W,Car,BEV,coefficient,2015,0.952,NA
HiTech,trn_pass_road_LDV_4W,Car,BEV,input.cost,2020,1.021,NA
HiTech,trn_pass_road_LDV_4W,Car,BEV,coefficient,2020,0.964,NA
HiTech,trn_pass_road_LDV_4W,Car,BEV,input.cost,2025,0.945,NA
HiTech,trn_pass_road_LDV_4W,Car,BEV,coefficient,2025,0.942,NA
HiTech,trn_pass_road_LDV_4W,Car,BEV,input.cost,2030,0.951,NA
HiTech,trn_pass_road_LDV_4W,Car,BEV,coefficient,2030,0.913,NA
HiTech,trn_pass_road_LDV_4W,Car,BEV,input.cost,2035,0.981,NA
HiTech,trn_pass_road_LDV_4W,Car,BEV,coefficient,2035,0.899,NA
HiTech,trn_pass_road_LDV_4W,Car,BEV,input.cost,2040,0.992,NA
HiTech,trn_pass_road_LDV_4W,Car,BEV,coefficient,2040,0.894,NA
HiTech,trn_pass_road_LDV_4W,Car,BEV,input.cost,2045,1.004,NA
HiTech,trn_pass_road_LDV_4W,Car,BEV,coefficient,2045,0.889,NA
HiTech,trn_pass_road_LDV_4W,Car,BEV,input.cost,2050,1.018,NA
HiTech,trn_pass_road_LDV_4W,Car,BEV,coefficient,2050,0.884,NA
HiTech,trn_pass_road_LDV_4W,Car,BEV,input.cost,2055,1.018,NA
HiTech,trn_pass_road_LDV_4W,Car,BEV,coefficient,2055,0.884,NA
HiTech,trn_pass_road_LDV_4W,Car,BEV,input.cost,2060,1.018,NA
HiTech,trn_pass_road_LDV_4W,Car,BEV,coefficient,2060,0.884,NA
HiTech,trn_pass_road_LDV_4W,Car,BEV,input.cost,2065,1.018,NA
HiTech,trn_pass_road_LDV_4W,Car,BEV,coefficient,2065,0.884,NA
HiTech,trn_pass_road_LDV_4W,Car,BEV,input.cost,2070,1.018,NA
HiTech,trn_pass_road_LDV_4W,Car,BEV,coefficient,2070,0.884,NA
HiTech,trn_pass_road_LDV_4W,Car,BEV,input.cost,2075,1.018,NA
HiTech,trn_pass_road_LDV_4W,Car,BEV,coefficient,2075,0.884,NA
HiTech,trn_pass_road_LDV_4W,Car,BEV,input.cost,2080,1.018,NA
HiTech,trn_pass_road_LDV_4W,Car,BEV,coefficient,2080,0.884,NA
HiTech,trn_pass_road_LDV_4W,Car,BEV,input.cost,2085,1.018,NA
HiTech,trn_pass_road_LDV_4W,Car,BEV,coefficient,2085,0.884,NA
HiTech,trn_pass_road_LDV_4W,Car,BEV,input.cost,2090,1.018,NA
HiTech,trn_pass_road_LDV_4W,Car,BEV,coefficient,2090,0.884,NA
HiTech,trn_pass_road_LDV_4W,Car,BEV,input.cost,2095,1.018,NA
HiTech,trn_pass_road_LDV_4W,Car,BEV,coefficient,2095,0.884,NA
HiTech,trn_pass_road_LDV_4W,Car,BEV,input.cost,2100,1.018,NA
HiTech,trn_pass_road_LDV_4W,Car,BEV,coefficient,2100,0.884,NA
HiTech,trn_pass_road_LDV_4W,Car,FCEV,input.cost,2005,0.732,NA
HiTech,trn_pass_road_LDV_4W,Car,FCEV,coefficient,2005,0.893,NA
HiTech,trn_pass_road_LDV_4W,Car,FCEV,input.cost,2010,0.873,NA
HiTech,trn_pass_road_LDV_4W,Car,FCEV,coefficient,2010,0.915,NA
HiTech,trn_pass_road_LDV_4W,Car,FCEV,input.cost,2015,0.96,NA
HiTech,trn_pass_road_LDV_4W,Car,FCEV,coefficient,2015,0.936,NA
HiTech,trn_pass_road_LDV_4W,Car,FCEV,input.cost,2020,1.012,NA
HiTech,trn_pass_road_LDV_4W,Car,FCEV,coefficient,2020,0.954,NA
HiTech,trn_pass_road_LDV_4W,Car,FCEV,input.cost,2025,1.051,NA
HiTech,trn_pass_road_LDV_4W,Car,FCEV,coefficient,2025,0.953,NA
HiTech,trn_pass_road_LDV_4W,Car,FCEV,input.cost,2030,0.939,NA
HiTech,trn_pass_road_LDV_4W,Car,FCEV,coefficient,2030,0.886,NA
HiTech,trn_pass_road_LDV_4W,Car,FCEV,input.cost,2035,0.932,NA
HiTech,trn_pass_road_LDV_4W,Car,FCEV,coefficient,2035,0.848,NA
HiTech,trn_pass_road_LDV_4W,Car,FCEV,input.cost,2040,0.934,NA
HiTech,trn_pass_road_LDV_4W,Car,FCEV,coefficient,2040,0.841,NA
HiTech,trn_pass_road_LDV_4W,Car,FCEV,input.cost,2045,0.937,NA
HiTech,trn_pass_road_LDV_4W,Car,FCEV,coefficient,2045,0.833,NA
HiTech,trn_pass_road_LDV_4W,Car,FCEV,input.cost,2050,0.939,NA
HiTech,trn_pass_road_LDV_4W,Car,FCEV,coefficient,2050,0.825,NA
HiTech,trn_pass_road_LDV_4W,Car,FCEV,input.cost,2055,0.939,NA
HiTech,trn_pass_road_LDV_4W,Car,FCEV,coefficient,2055,0.825,NA
HiTech,trn_pass_road_LDV_4W,Car,FCEV,input.cost,2060,0.939,NA
HiTech,trn_pass_road_LDV_4W,Car,FCEV,coefficient,2060,0.825,NA
HiTech,trn_pass_road_LDV_4W,Car,FCEV,input.cost,2065,0.939,NA
HiTech,trn_pass_road_LDV_4W,Car,FCEV,coefficient,2065,0.825,NA
HiTech,trn_pass_road_LDV_4W,Car,FCEV,input.cost,2070,0.939,NA
HiTech,trn_pass_road_LDV_4W,Car,FCEV,coefficient,2070,0.825,NA
HiTech,trn_pass_road_LDV_4W,Car,FCEV,input.cost,2075,0.939,NA
HiTech,trn_pass_road_LDV_4W,Car,FCEV,coefficient,2075,0.825,NA
HiTech,trn_pass_road_LDV_4W,Car,FCEV,input.cost,2080,0.939,NA
HiTech,trn_pass_road_LDV_4W,Car,FCEV,coefficient,2080,0.825,NA
HiTech,trn_pass_road_LDV_4W,Car,FCEV,input.cost,2085,0.939,NA
HiTech,trn_pass_road_LDV_4W,Car,FCEV,coefficient,2085,0.825,NA
HiTech,trn_pass_road_LDV_4W,Car,FCEV,input.cost,2090,0.939,NA
HiTech,trn_pass_road_LDV_4W,Car,FCEV,coefficient,2090,0.825,NA
HiTech,trn_pass_road_LDV_4W,Car,FCEV,input.cost,2095,0.939,NA
HiTech,trn_pass_road_LDV_4W,Car,FCEV,coefficient,2095,0.825,NA
HiTech,trn_pass_road_LDV_4W,Car,FCEV,input.cost,2100,0.939,NA
HiTech,trn_pass_road_LDV_4W,Car,FCEV,coefficient,2100,0.825,NA
HiTech,trn_pass_road_LDV_4W,Car,Hybrid Liquids,input.cost,2005,1.015,NA
HiTech,trn_pass_road_LDV_4W,Car,Hybrid Liquids,coefficient,2005,0.777,NA
HiTech,trn_pass_road_LDV_4W,Car,Hybrid Liquids,input.cost,2010,1.057,NA
HiTech,trn_pass_road_LDV_4W,Car,Hybrid Liquids,coefficient,2010,0.829,NA
HiTech,trn_pass_road_LDV_4W,Car,Hybrid Liquids,input.cost,2015,1.108,NA
HiTech,trn_pass_road_LDV_4W,Car,Hybrid Liquids,coefficient,2015,0.862,NA
HiTech,trn_pass_road_LDV_4W,Car,Hybrid Liquids,input.cost,2020,1.041,NA
HiTech,trn_pass_road_LDV_4W,Car,Hybrid Liquids,coefficient,2020,0.881,NA
HiTech,trn_pass_road_LDV_4W,Car,Hybrid Liquids,input.cost,2025,0.989,NA
HiTech,trn_pass_road_LDV_4W,Car,Hybrid Liquids,coefficient,2025,0.874,NA
HiTech,trn_pass_road_LDV_4W,Car,Hybrid Liquids,input.cost,2030,1.02,NA
HiTech,trn_pass_road_LDV_4W,Car,Hybrid Liquids,coefficient,2030,0.829,NA
HiTech,trn_pass_road_LDV_4W,Car,Hybrid Liquids,input.cost,2035,1.005,NA
HiTech,trn_pass_road_LDV_4W,Car,Hybrid Liquids,coefficient,2035,0.78,NA
HiTech,trn_pass_road_LDV_4W,Car,Hybrid Liquids,input.cost,2040,1.013,NA
HiTech,trn_pass_road_LDV_4W,Car,Hybrid Liquids,coefficient,2040,0.795,NA
HiTech,trn_pass_road_LDV_4W,Car,Hybrid Liquids,input.cost,2045,1.022,NA
HiTech,trn_pass_road_LDV_4W,Car,Hybrid Liquids,coefficient,2045,0.812,NA
HiTech,trn_pass_road_LDV_4W,Car,Hybrid Liquids,input.cost,2050,1.031,NA
HiTech,trn_pass_road_LDV_4W,Car,Hybrid Liquids,coefficient,2050,0.831,NA
HiTech,trn_pass_road_LDV_4W,Car,Hybrid Liquids,input.cost,2055,1.031,NA
HiTech,trn_pass_road_LDV_4W,Car,Hybrid Liquids,coefficient,2055,0.831,NA
HiTech,trn_pass_road_LDV_4W,Car,Hybrid Liquids,input.cost,2060,1.031,NA
HiTech,trn_pass_road_LDV_4W,Car,Hybrid Liquids,coefficient,2060,0.831,NA
HiTech,trn_pass_road_LDV_4W,Car,Hybrid Liquids,input.cost,2065,1.031,NA
HiTech,trn_pass_road_LDV_4W,Car,Hybrid Liquids,coefficient,2065,0.831,NA
HiTech,trn_pass_road_LDV_4W,Car,Hybrid Liquids,input.cost,2070,1.031,NA
HiTech,trn_pass_road_LDV_4W,Car,Hybrid Liquids,coefficient,2070,0.831,NA
HiTech,trn_pass_road_LDV_4W,Car,Hybrid Liquids,input.cost,2075,1.031,NA
HiTech,trn_pass_road_LDV_4W,Car,Hybrid Liquids,coefficient,2075,0.831,NA
HiTech,trn_pass_road_LDV_4W,Car,Hybrid Liquids,input.cost,2080,1.031,NA
HiTech,trn_pass_road_LDV_4W,Car,Hybrid Liquids,coefficient,2080,0.831,NA
HiTech,trn_pass_road_LDV_4W,Car,Hybrid Liquids,input.cost,2085,1.031,NA
HiTech,trn_pass_road_LDV_4W,Car,Hybrid Liquids,coefficient,2085,0.831,NA
HiTech,trn_pass_road_LDV_4W,Car,Hybrid Liquids,input.cost,2090,1.031,NA
HiTech,trn_pass_road_LDV_4W,Car,Hybrid Liquids,coefficient,2090,0.831,NA
HiTech,trn_pass_road_LDV_4W,Car,Hybrid Liquids,input.cost,2095,1.031,NA
HiTech,trn_pass_road_LDV_4W,Car,Hybrid Liquids,coefficient,2095,0.831,NA
HiTech,trn_pass_road_LDV_4W,Car,Hybrid Liquids,input.cost,2100,1.031,NA
HiTech,trn_pass_road_LDV_4W,Car,Hybrid Liquids,coefficient,2100,0.831,NA
HiTech,trn_pass_road_LDV_4W,Car,Liquids,input.cost,2005,1.097,NA
HiTech,trn_pass_road_LDV_4W,Car,Liquids,coefficient,2005,0.683,NA
HiTech,trn_pass_road_LDV_4W,Car,Liquids,input.cost,2010,1.12,NA
HiTech,trn_pass_road_LDV_4W,Car,Liquids,coefficient,2010,0.728,NA
HiTech,trn_pass_road_LDV_4W,Car,Liquids,input.cost,2015,1.136,NA
HiTech,trn_pass_road_LDV_4W,Car,Liquids,coefficient,2015,0.728,NA
HiTech,trn_pass_road_LDV_4W,Car,Liquids,input.cost,2020,1.071,NA
HiTech,trn_pass_road_LDV_4W,Car,Liquids,coefficient,2020,0.82,NA
HiTech,trn_pass_road_LDV_4W,Car,Liquids,input.cost,2025,1.057,NA
HiTech,trn_pass_road_LDV_4W,Car,Liquids,coefficient,2025,0.778,NA
HiTech,trn_pass_road_LDV_4W,Car,Liquids,input.cost,2030,1.115,NA
HiTech,trn_pass_road_LDV_4W,Car,Liquids,coefficient,2030,0.816,NA
HiTech,trn_pass_road_LDV_4W,Car,Liquids,input.cost,2035,1.074,NA
HiTech,trn_pass_road_LDV_4W,Car,Liquids,coefficient,2035,0.772,NA
HiTech,trn_pass_road_LDV_4W,Car,Liquids,input.cost,2040,1.083,NA
HiTech,trn_pass_road_LDV_4W,Car,Liquids,coefficient,2040,0.784,NA
HiTech,trn_pass_road_LDV_4W,Car,Liquids,input.cost,2045,1.092,NA
HiTech,trn_pass_road_LDV_4W,Car,Liquids,coefficient,2045,0.798,NA
HiTech,trn_pass_road_LDV_4W,Car,Liquids,input.cost,2050,1.101,NA
HiTech,trn_pass_road_LDV_4W,Car,Liquids,coefficient,2050,0.812,NA
HiTech,trn_pass_road_LDV_4W,Car,Liquids,input.cost,2055,1.101,NA
HiTech,trn_pass_road_LDV_4W,Car,Liquids,coefficient,2055,0.812,NA
HiTech,trn_pass_road_LDV_4W,Car,Liquids,input.cost,2060,1.101,NA
HiTech,trn_pass_road_LDV_4W,Car,Liquids,coefficient,2060,0.812,NA
HiTech,trn_pass_road_LDV_4W,Car,Liquids,input.cost,2065,1.101,NA
HiTech,trn_pass_road_LDV_4W,Car,Liquids,coefficient,2065,0.812,NA
HiTech,trn_pass_road_LDV_4W,Car,Liquids,input.cost,2070,1.101,NA
HiTech,trn_pass_road_LDV_4W,Car,Liquids,coefficient,2070,0.812,NA
HiTech,trn_pass_road_LDV_4W,Car,Liquids,input.cost,2075,1.101,NA
HiTech,trn_pass_road_LDV_4W,Car,Liquids,coefficient,2075,0.812,NA
HiTech,trn_pass_road_LDV_4W,Car,Liquids,input.cost,2080,1.101,NA
HiTech,trn_pass_road_LDV_4W,Car,Liquids,coefficient,2080,0.812,NA
HiTech,trn_pass_road_LDV_4W,Car,Liquids,input.cost,2085,1.101,NA
HiTech,trn_pass_road_LDV_4W,Car,Liquids,coefficient,2085,0.812,NA
HiTech,trn_pass_road_LDV_4W,Car,Liquids,input.cost,2090,1.101,NA
HiTech,trn_pass_road_LDV_4W,Car,Liquids,coefficient,2090,0.812,NA
HiTech,trn_pass_road_LDV_4W,Car,Liquids,input.cost,2095,1.101,NA
HiTech,trn_pass_road_LDV_4W,Car,Liquids,coefficient,2095,0.812,NA
HiTech,trn_pass_road_LDV_4W,Car,Liquids,input.cost,2100,1.101,NA
HiTech,trn_pass_road_LDV_4W,Car,Liquids,coefficient,2100,0.812,NA
HiTech,trn_pass_road_LDV_4W,Car,NG,input.cost,2005,1.048,NA
HiTech,trn_pass_road_LDV_4W,Car,NG,coefficient,2005,0.762,NA
HiTech,trn_pass_road_LDV_4W,Car,NG,input.cost,2010,1.084,NA
HiTech,trn_pass_road_LDV_4W,Car,NG,coefficient,2010,0.777,NA
HiTech,trn_pass_road_LDV_4W,Car,NG,input.cost,2015,1.098,NA
HiTech,trn_pass_road_LDV_4W,Car,NG,coefficient,2015,0.762,NA
HiTech,trn_pass_road_LDV_4W,Car,NG,input.cost,2020,1.033,NA
HiTech,trn_pass_road_LDV_4W,Car,NG,coefficient,2020,0.87,NA
HiTech,trn_pass_road_LDV_4W,Car,NG,input.cost,2025,0.996,NA
HiTech,trn_pass_road_LDV_4W,Car,NG,coefficient,2025,0.835,NA
HiTech,trn_pass_road_LDV_4W,Car,NG,input.cost,2030,1.033,NA
HiTech,trn_pass_road_LDV_4W,Car,NG,coefficient,2030,0.885,NA
HiTech,trn_pass_road_LDV_4W,Car,NG,input.cost,2035,1.021,NA
HiTech,trn_pass_road_LDV_4W,Car,NG,coefficient,2035,0.82,NA
HiTech,trn_pass_road_LDV_4W,Car,NG,input.cost,2040,1.029,NA
HiTech,trn_pass_road_LDV_4W,Car,NG,coefficient,2040,0.826,NA
HiTech,trn_pass_road_LDV_4W,Car,NG,input.cost,2045,1.036,NA
HiTech,trn_pass_road_LDV_4W,Car,NG,coefficient,2045,0.832,NA
HiTech,trn_pass_road_LDV_4W,Car,NG,input.cost,2050,1.044,NA
HiTech,trn_pass_road_LDV_4W,Car,NG,coefficient,2050,0.839,NA
HiTech,trn_pass_road_LDV_4W,Car,NG,input.cost,2055,1.044,NA
HiTech,trn_pass_road_LDV_4W,Car,NG,coefficient,2055,0.839,NA
HiTech,trn_pass_road_LDV_4W,Car,NG,input.cost,2060,1.044,NA
HiTech,trn_pass_road_LDV_4W,Car,NG,coefficient,2060,0.839,NA
HiTech,trn_pass_road_LDV_4W,Car,NG,input.cost,2065,1.044,NA
HiTech,trn_pass_road_LDV_4W,Car,NG,coefficient,2065,0.839,NA
HiTech,trn_pass_road_LDV_4W,Car,NG,input.cost,2070,1.044,NA
HiTech,trn_pass_road_LDV_4W,Car,NG,coefficient,2070,0.839,NA
HiTech,trn_pass_road_LDV_4W,Car,NG,input.cost,2075,1.044,NA
HiTech,trn_pass_road_LDV_4W,Car,NG,coefficient,2075,0.839,NA
HiTech,trn_pass_road_LDV_4W,Car,NG,input.cost,2080,1.044,NA
HiTech,trn_pass_road_LDV_4W,Car,NG,coefficient,2080,0.839,NA
HiTech,trn_pass_road_LDV_4W,Car,NG,input.cost,2085,1.044,NA
HiTech,trn_pass_road_LDV_4W,Car,NG,coefficient,2085,0.839,NA
HiTech,trn_pass_road_LDV_4W,Car,NG,input.cost,2090,1.044,NA
HiTech,trn_pass_road_LDV_4W,Car,NG,coefficient,2090,0.839,NA
HiTech,trn_pass_road_LDV_4W,Car,NG,input.cost,2095,1.044,NA
HiTech,trn_pass_road_LDV_4W,Car,NG,coefficient,2095,0.839,NA
HiTech,trn_pass_road_LDV_4W,Car,NG,input.cost,2100,1.044,NA
HiTech,trn_pass_road_LDV_4W,Car,NG,coefficient,2100,0.839,NA
HiTech,trn_pass_road_LDV_4W,Large Car and Truck,BEV,input.cost,2005,0.823,NA
HiTech,trn_pass_road_LDV_4W,Large Car and Truck,BEV,coefficient,2005,0.927,NA
HiTech,trn_pass_road_LDV_4W,Large Car and Truck,BEV,input.cost,2010,0.903,NA
HiTech,trn_pass_road_LDV_4W,Large Car and Truck,BEV,coefficient,2010,0.963,NA
HiTech,trn_pass_road_LDV_4W,Large Car and Truck,BEV,input.cost,2015,0.968,NA
HiTech,trn_pass_road_LDV_4W,Large Car and Truck,BEV,coefficient,2015,0.941,NA
HiTech,trn_pass_road_LDV_4W,Large Car and Truck,BEV,input.cost,2020,1.014,NA
HiTech,trn_pass_road_LDV_4W,Large Car and Truck,BEV,coefficient,2020,0.959,NA
HiTech,trn_pass_road_LDV_4W,Large Car and Truck,BEV,input.cost,2025,0.946,NA
HiTech,trn_pass_road_LDV_4W,Large Car and Truck,BEV,coefficient,2025,0.945,NA
HiTech,trn_pass_road_LDV_4W,Large Car and Truck,BEV,input.cost,2030,0.948,NA
HiTech,trn_pass_road_LDV_4W,Large Car and Truck,BEV,coefficient,2030,0.909,NA
HiTech,trn_pass_road_LDV_4W,Large Car and Truck,BEV,input.cost,2035,0.976,NA
HiTech,trn_pass_road_LDV_4W,Large Car and Truck,BEV,coefficient,2035,0.9,NA
HiTech,trn_pass_road_LDV_4W,Large Car and Truck,BEV,input.cost,2040,0.988,NA
HiTech,trn_pass_road_LDV_4W,Large Car and Truck,BEV,coefficient,2040,0.895,NA
HiTech,trn_pass_road_LDV_4W,Large Car and Truck,BEV,input.cost,2045,1.002,NA
HiTech,trn_pass_road_LDV_4W,Large Car and Truck,BEV,coefficient,2045,0.89,NA
HiTech,trn_pass_road_LDV_4W,Large Car and Truck,BEV,input.cost,2050,1.017,NA
HiTech,trn_pass_road_LDV_4W,Large Car and Truck,BEV,coefficient,2050,0.884,NA
HiTech,trn_pass_road_LDV_4W,Large Car and Truck,BEV,input.cost,2055,1.017,NA
HiTech,trn_pass_road_LDV_4W,Large Car and Truck,BEV,coefficient,2055,0.884,NA
HiTech,trn_pass_road_LDV_4W,Large Car and Truck,BEV,input.cost,2060,1.017,NA
HiTech,trn_pass_road_LDV_4W,Large Car and Truck,BEV,coefficient,2060,0.884,NA
HiTech,trn_pass_road_LDV_4W,Large Car and Truck,BEV,input.cost,2065,1.017,NA
HiTech,trn_pass_road_LDV_4W,Large Car and Truck,BEV,coefficient,2065,0.884,NA
HiTech,trn_pass_road_LDV_4W,Large Car and Truck,BEV,input.cost,2070,1.017,NA
HiTech,trn_pass_road_LDV_4W,Large Car and Truck,BEV,coefficient,2070,0.884,NA
HiTech,trn_pass_road_LDV_4W,Large Car and Truck,BEV,input.cost,2075,1.017,NA
HiTech,trn_pass_road_LDV_4W,Large Car and Truck,BEV,coefficient,2075,0.884,NA
HiTech,trn_pass_road_LDV_4W,Large Car and Truck,BEV,input.cost,2080,1.017,NA
HiTech,trn_pass_road_LDV_4W,Large Car and Truck,BEV,coefficient,2080,0.884,NA
